Company,Role,Location,Work Type,Visa Sponsored,Pay Range,Source,Date Applied,Status,Job URL,Resume Used,Cover Letter,Priority
Plaid,Staff Software Engineer - Europe,London,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/f45e9604-9ec0-42aa-ad01-90e635bdb8da,,N,4
Plaid,Engineering Manager - Europe,London,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/fff15056-548f-4d41-8d0b-f7affc68a330,nodejs_fullstack,N,4
Anthropic,"Staff+ Software Engineer, Observability","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5102440008,,N,4
Anthropic,"Staff Software Engineer, Inference","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5097742008,,N,4
Anthropic,"Staff Software Engineer, AI Reliability Engineering","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5101173008,,N,4
Anthropic,"Sr. Software Engineer, Inference","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5152348008,,N,4
Anthropic,"Solutions Architect, Applied AI (Startups)","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/4968059008,,N,4
Anthropic,"Solutions Architect, Applied AI (Industries)","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5031670008,,N,4
Anthropic,"Software Engineer, Safeguards Infrastructure ","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5074908008,,N,4
Anthropic,Senior Software Security Engineer,"London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5022845008,,N,4
Anthropic,"Senior Software Engineer, Systems","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/4915842008,,N,4
Anthropic,"Senior Engineer, Datacenter Server Lifecycle","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5131038008,,N,4
Anthropic,"Research Engineer / Scientist, Alignment Science - London","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/4610158008,,N,4
Anthropic,"Research Engineer, Science of Scaling","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5126127008,,N,4
Anthropic,"Research Engineer, Pretraining Scaling - London","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/4938436008,,N,4
Anthropic,"Research Engineer, Pretraining","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5119713008,,N,4
Anthropic,"Research Engineer, Machine Learning (Reinforcement Learning)","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5115935008,,N,4
Anthropic,"Partner Manager UK & North Europe, (AI Boutiques)","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5164620008,,N,4
Anthropic,"Manager of Solutions Architecture, Applied AI (Partnerships)","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5146999008,,N,4
Anthropic,"Manager of Solutions Architecture, Applied AI (Industries)","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5115884008,,N,4
Anthropic,"Manager, Applied AI (Startups)","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5142110008,,N,4
Anthropic,"Forward Deployed Engineer, Applied AI","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5012991008,,N,4
Anthropic,"Enterprise Account Executive, Retail","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5163917008,,N,4
Anthropic,Developer Community Lead - EMEA,"London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5113368008,,N,4
Anthropic,"Data Engineer, Safeguards","London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5156057008,,N,4
Anthropic,Applied AI Engineer ,"London, UK",On-site (Visa Sponsored),Y,Not Listed,Greenhouse,,Found,https://job-boards.greenhouse.io/anthropic/jobs/5116274008,,N,4
