Company,Role,Location,Work Type,Visa Sponsored,Pay Range,Source,Date Applied,Status,Job URL,Resume Used,Cover Letter,Priority
Huzzle,Senior Sales Development Representative,,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-senior-sales-development-representative-huzzle-1130989,,N,1
10x Team,Legal Counsel AI Trainer Freelance 8 20 hrs week,Bucharest,Remote (No Visa),N,$84 - $180,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-legal-counsel-ai-trainer-freelance-8-20-hrs-week-10x-team-1130991,,N,1
GoMining,Senior UX UI designer,,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-senior-ux-ui-designer-gomining-1130992,,N,1
"ms consultants, inc.",Senior Site Civil Engineer Land Development,,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-senior-site-civil-engineer-land-development-ms-consultants-inc-1130993,,N,1
Symmetry Systems,Associate Forward Deployed Engineer,Remote,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-associate-forward-deployed-engineer-symmetry-systems-1130994,,N,1
Actian Corporation,RevOps AI Analyst Intern,US-Remote,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-revops-ai-analyst-intern-actian-corporation-1130997,,N,1
Clearway Energy,Regional Manager,,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-regional-manager-clearway-energy-1131011,,N,1
HHAeXchange,Fraud Waste and Abuse Data Analyst,United States,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-fraud-waste-and-abuse-data-analyst-hhaexchange-1131012,,N,1
"Contact Government Services, LLC",English Contract Attorney,,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-english-contract-attorney-contact-government-services-llc-1131014,,N,1
TrueML,Client Support Specialist,Remote in USA,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-client-support-specialist-trueml-1131016,,N,1
HHAeXchange,Product Manager Data Management &amp; Platform,United States,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-product-manager-data-management-amp-platform-hhaexchange-1131017,,N,1
Fox GLobal Assets,Crypto Trader,,Remote (No Visa),N,"$40,000 - $60,000",RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-crypto-trader-fox-global-assets-1131018,,N,1
Expatfile.tax,Senior front end developer,,Remote (No Visa),N,"$60,000 - $90,000",RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-senior-front-end-developer-expatfile-tax-1131019,,N,1
Hyperlab,User Acquisition Specialist,,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-user-acquisition-specialist-hyperlab-1131020,,N,1
Arbor Education,Payroll Operations and Systems Manager,,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-payroll-operations-and-systems-manager-arbor-education-1131021,,N,1
Luxury Presence,Staff Software Engineer CRM LATAM,Latin America,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-staff-software-engineer-crm-latam-luxury-presence-1131023,,N,1
"Instructure, Inc.",Benefits Manager,,Remote (No Visa),N,"$115,000 - $135,000",RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-benefits-manager-instructure-inc-1131024,,N,1
ALX Africa,Alumni Relationship Manager Casablanca,Casablanca,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-alumni-relationship-manager-casablanca-alx-africa-1131025,,N,1
UpGuard,Sales Development Representative,,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-sales-development-representative-upguard-1131026,,N,1
C1,Director of Security Engineering,Portland,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-director-of-security-engineering-c1-1131027,,N,1
OakNorth,Staff Engineer Digital Lending,London,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-staff-engineer-digital-lending-oaknorth-1131028,,N,1
C1,Manager Product Development,San Francisco,Remote (No Visa),N,"$100,000 - $200,000",RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-manager-product-development-c1-1131029,,N,1
Blackbird Interactive,Intermediate Gameplay Software Engineer,Vancouver,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-intermediate-gameplay-software-engineer-blackbird-interactive-1131030,,N,1
Coderio,Senior Backend Engineer MS050KA,,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-senior-backend-engineer-ms050ka-coderio-1131031,,N,1
Branch,Senior Implementation Consultant,,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-senior-implementation-consultant-branch-1131032,,N,1
Smartsheet,Solutions Architect,,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-solutions-architect-smartsheet-1131033,,N,1
Thoughtworks,Senior Data Engineer,Chicago,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-senior-data-engineer-thoughtworks-1131034,,N,1
Lightspeed Commerce,Team Lead Corporate Accounting,Montreal,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-team-lead-corporate-accounting-lightspeed-commerce-1131035,,N,1
Stone,Software Engineering Manager I Mobile,Remoto,Remote (No Visa),N,Not Listed,RemoteOK,,Found,https://remoteOK.com/remote-jobs/remote-software-engineering-manager-i-mobile-stone-1131036,,N,1
Plaid,Workplace Operations Manager,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/2146a355-1a0e-4d82-8aca-9dd4b2b5f1b5,,N,4
Plaid,Treasury Manager,United States,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/e4fcce5d-fdd9-4787-90ad-556d6dc2d032,,N,4
Plaid,Technical Support Engineer,United States,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/1e10caf7-85ed-4610-842f-78cea7d40de7,,N,4
